id,kode_provinsi,nama_provinsi,pengelola_kawasan,jenis_wisatawan,jumlah_wisatawan,satuan,tahun
57,32,JAWA BARAT,PERUM PERHUTANI DIVISI REGIONAL JABAR-BANTEN,WISATAWAN NUSANTARA,0,ORANG,2016
58,32,JAWA BARAT,PERUM PERHUTANI DIVISI REGIONAL JABAR-BANTEN,WISATAWAN MANCANEGARA,0,ORANG,2016
59,32,JAWA BARAT,KBM-AEJ/KBM/JLPL,WISATAWAN NUSANTARA,0,ORANG,2016
60,32,JAWA BARAT,KBM-AEJ/KBM/JLPL,WISATAWAN MANCANEGARA,0,ORANG,2016
61,32,JAWA BARAT,WH CURUG CILEMBER,WISATAWAN NUSANTARA,0,ORANG,2016
62,32,JAWA BARAT,WH CURUG CILEMBER,WISATAWAN MANCANEGARA,0,ORANG,2016
63,32,JAWA BARAT,WH CARIU,WISATAWAN NUSANTARA,0,ORANG,2016
64,32,JAWA BARAT,WH CARIU,WISATAWAN MANCANEGARA,0,ORANG,2016
65,32,JAWA BARAT,TWA CIMANGGU,WISATAWAN NUSANTARA,0,ORANG,2016
66,32,JAWA BARAT,TWA CIMANGGU,WISATAWAN MANCANEGARA,0,ORANG,2016
67,32,JAWA BARAT,WH KAWAH PUTIH,WISATAWAN NUSANTARA,0,ORANG,2016
68,32,JAWA BARAT,WH KAWAH PUTIH,WISATAWAN MANCANEGARA,0,ORANG,2016
69,32,JAWA BARAT,PATUHA RESORT,WISATAWAN NUSANTARA,0,ORANG,2016
70,32,JAWA BARAT,PATUHA RESORT,WISATAWAN MANCANEGARA,0,ORANG,2016
71,32,JAWA BARAT,BP RANCAUPAS,WISATAWAN NUSANTARA,0,ORANG,2016
72,32,JAWA BARAT,BP RANCAUPAS,WISATAWAN MANCANEGARA,0,ORANG,2016
73,32,JAWA BARAT,WH CIBOLANG,WISATAWAN NUSANTARA,0,ORANG,2016
74,32,JAWA BARAT,WH CIBOLANG,WISATAWAN MANCANEGARA,0,ORANG,2016
75,32,JAWA BARAT,WH BLAAKAN,WISATAWAN NUSANTARA,0,ORANG,2016
76,32,JAWA BARAT,WH BLAAKAN,WISATAWAN MANCANEGARA,0,ORANG,2016
77,32,JAWA BARAT,JUMLAH KBM-AEJ/KBM/JLPL,WISATAWAN NUSANTARA,0,ORANG,2016
78,32,JAWA BARAT,JUMLAH KBM-AEJ/KBM/JLPL,WISATAWAN MANCANEGARA,0,ORANG,2016
79,32,JAWA BARAT,KPH BOGOR,WISATAWAN NUSANTARA,0,ORANG,2016
80,32,JAWA BARAT,KPH BOGOR,WISATAWAN MANCANEGARA,0,ORANG,2016
81,32,JAWA BARAT,SUKAMANTRI,WISATAWAN NUSANTARA,445,ORANG,2016
82,32,JAWA BARAT,SUKAMANTRI,WISATAWAN MANCANEGARA,0,ORANG,2016
83,32,JAWA BARAT,CURUG NANGKA,WISATAWAN NUSANTARA,900,ORANG,2016
84,32,JAWA BARAT,CURUG NANGKA,WISATAWAN MANCANEGARA,0,ORANG,2016
85,32,JAWA BARAT,GUNUNG BUNDER,WISATAWAN NUSANTARA,17907,ORANG,2016
86,32,JAWA BARAT,GUNUNG BUNDER,WISATAWAN MANCANEGARA,356,ORANG,2016
87,32,JAWA BARAT,CURUG PANJANG,WISATAWAN NUSANTARA,107,ORANG,2016
88,32,JAWA BARAT,CURUG PANJANG,WISATAWAN MANCANEGARA,0,ORANG,2016
89,32,JAWA BARAT,CURUG CISUREN,WISATAWAN NUSANTARA,145882,ORANG,2016
90,32,JAWA BARAT,CURUG CISUREN,WISATAWAN MANCANEGARA,34,ORANG,2016
91,32,JAWA BARAT,CURUG KEMBAR BATULAYANG,WISATAWAN NUSANTARA,23726,ORANG,2016
92,32,JAWA BARAT,CURUG KEMBAR BATULAYANG,WISATAWAN MANCANEGARA,3,ORANG,2016
93,32,JAWA BARAT,BUPER CITAMIANG,WISATAWAN NUSANTARA,9149,ORANG,2016
94,32,JAWA BARAT,BUPER CITAMIANG,WISATAWAN MANCANEGARA,22,ORANG,2016
95,32,JAWA BARAT,CITEKO,WISATAWAN NUSANTARA,4904,ORANG,2016
96,32,JAWA BARAT,CITEKO,WISATAWAN MANCANEGARA,0,ORANG,2016
97,32,JAWA BARAT,CIHURANG,WISATAWAN NUSANTARA,9072,ORANG,2016
98,32,JAWA BARAT,CIHURANG,WISATAWAN MANCANEGARA,0,ORANG,2016
99,32,JAWA BARAT,CURUG CIPAMINGLIS,WISATAWAN NUSANTARA,15961,ORANG,2016
100,32,JAWA BARAT,CURUG CIPAMINGLIS,WISATAWAN MANCANEGARA,0,ORANG,2016
101,32,JAWA BARAT,CURUG ARCA,WISATAWAN NUSANTARA,2608,ORANG,2016
102,32,JAWA BARAT,CURUG ARCA,WISATAWAN MANCANEGARA,0,ORANG,2016
103,32,JAWA BARAT,PULAU CANGKIR,WISATAWAN NUSANTARA,276,ORANG,2016
104,32,JAWA BARAT,PULAU CANGKIR,WISATAWAN MANCANEGARA,0,ORANG,2016
105,32,JAWA BARAT,JUMLAH KPH BOGOR,WISATAWAN NUSANTARA,150,ORANG,2016
106,32,JAWA BARAT,JUMLAH KPH BOGOR,WISATAWAN MANCANEGARA,0,ORANG,2016
107,32,JAWA BARAT,KPH SUKABUMI,WISATAWAN NUSANTARA,0,ORANG,2016
108,32,JAWA BARAT,KPH SUKABUMI,WISATAWAN MANCANEGARA,0,ORANG,2016
109,32,JAWA BARAT,CURUG SAWER,WISATAWAN NUSANTARA,0,ORANG,2016
110,32,JAWA BARAT,CURUG SAWER,WISATAWAN MANCANEGARA,0,ORANG,2016
111,32,JAWA BARAT,GUA BUNIAYU,WISATAWAN NUSANTARA,2251,ORANG,2016
112,32,JAWA BARAT,GUA BUNIAYU,WISATAWAN MANCANEGARA,0,ORANG,2016
113,32,JAWA BARAT,BUPER CIPELANG,WISATAWAN NUSANTARA,0,ORANG,2016
114,32,JAWA BARAT,BUPER CIPELANG,WISATAWAN MANCANEGARA,0,ORANG,2016
115,32,JAWA BARAT,JUMLAH KPH SUKABUMI,WISATAWAN NUSANTARA,0,ORANG,2016
116,32,JAWA BARAT,JUMLAH KPH SUKABUMI,WISATAWAN MANCANEGARA,0,ORANG,2016
117,32,JAWA BARAT,KPH CIANJUR,WISATAWAN NUSANTARA,0,ORANG,2016
118,32,JAWA BARAT,KPH CIANJUR,WISATAWAN MANCANEGARA,0,ORANG,2016
119,32,JAWA BARAT,CURUG CITAMBUR,WISATAWAN NUSANTARA,0,ORANG,2016
120,32,JAWA BARAT,CURUG CITAMBUR,WISATAWAN MANCANEGARA,0,ORANG,2016
121,32,JAWA BARAT,CISALADA,WISATAWAN NUSANTARA,0,ORANG,2016
122,32,JAWA BARAT,CISALADA,WISATAWAN MANCANEGARA,0,ORANG,2016
123,32,JAWA BARAT,REST AREA SELAGEDANG,WISATAWAN NUSANTARA,0,ORANG,2016
124,32,JAWA BARAT,REST AREA SELAGEDANG,WISATAWAN MANCANEGARA,0,ORANG,2016
125,32,JAWA BARAT,BUPER CIWIDIG,WISATAWAN NUSANTARA,0,ORANG,2016
126,32,JAWA BARAT,BUPER CIWIDIG,WISATAWAN MANCANEGARA,0,ORANG,2016
127,32,JAWA BARAT,REST AREA SUKAMANAH,WISATAWAN NUSANTARA,0,ORANG,2016
128,32,JAWA BARAT,REST AREA SUKAMANAH,WISATAWAN MANCANEGARA,0,ORANG,2016
129,32,JAWA BARAT,SUKAMEKAR,WISATAWAN NUSANTARA,0,ORANG,2016
130,32,JAWA BARAT,SUKAMEKAR,WISATAWAN MANCANEGARA,0,ORANG,2016
131,32,JAWA BARAT,SUKADANA,WISATAWAN NUSANTARA,0,ORANG,2016
132,32,JAWA BARAT,SUKADANA,WISATAWAN MANCANEGARA,0,ORANG,2016
133,32,JAWA BARAT,REST AREA BALEGEDE,WISATAWAN NUSANTARA,0,ORANG,2016
134,32,JAWA BARAT,REST AREA BALEGEDE,WISATAWAN MANCANEGARA,0,ORANG,2016
135,32,JAWA BARAT,JUMLAH KPH CIANJUR,WISATAWAN NUSANTARA,0,ORANG,2016
136,32,JAWA BARAT,JUMLAH KPH CIANJUR,WISATAWAN MANCANEGARA,0,ORANG,2016
137,32,JAWA BARAT,KPH PURWAKARTA,WISATAWAN NUSANTARA,0,ORANG,2016
138,32,JAWA BARAT,KPH PURWAKARTA,WISATAWAN MANCANEGARA,0,ORANG,2016
139,32,JAWA BARAT,CURUG CIGENTIS,WISATAWAN NUSANTARA,87694,ORANG,2016
140,32,JAWA BARAT,CURUG CIGENTIS,WISATAWAN MANCANEGARA,0,ORANG,2016
141,32,JAWA BARAT,CIBUNGUR,WISATAWAN NUSANTARA,9958,ORANG,2016
142,32,JAWA BARAT,CIBUNGUR,WISATAWAN MANCANEGARA,0,ORANG,2016
143,32,JAWA BARAT,PONDOK BALI,WISATAWAN NUSANTARA,0,ORANG,2016
144,32,JAWA BARAT,PONDOK BALI,WISATAWAN MANCANEGARA,0,ORANG,2016
145,32,JAWA BARAT,SEDARI,WISATAWAN NUSANTARA,0,ORANG,2016
146,32,JAWA BARAT,SEDARI,WISATAWAN MANCANEGARA,0,ORANG,2016
147,32,JAWA BARAT,CURUG TUJUH,WISATAWAN NUSANTARA,0,ORANG,2016
148,32,JAWA BARAT,CURUG TUJUH,WISATAWAN MANCANEGARA,0,ORANG,2016
149,32,JAWA BARAT,JUMLAH KPH PURWAKARTA,WISATAWAN NUSANTARA,97652,ORANG,2016
150,32,JAWA BARAT,JUMLAH KPH PURWAKARTA,WISATAWAN MANCANEGARA,0,ORANG,2016
151,32,JAWA BARAT,KPH BANDUNG UTARA,WISATAWAN NUSANTARA,0,ORANG,2016
152,32,JAWA BARAT,KPH BANDUNG UTARA,WISATAWAN MANCANEGARA,0,ORANG,2016
153,32,JAWA BARAT,ORAY TAPA,WISATAWAN NUSANTARA,0,ORANG,2016
154,32,JAWA BARAT,ORAY TAPA,WISATAWAN MANCANEGARA,0,ORANG,2016
155,32,JAWA BARAT,CIKOLE JAYAGIRI RESORT & TREETOP,WISATAWAN NUSANTARA,953,ORANG,2016
156,32,JAWA BARAT,CIKOLE JAYAGIRI RESORT & TREETOP,WISATAWAN MANCANEGARA,0,ORANG,2016
157,32,JAWA BARAT,BATU KUDA,WISATAWAN NUSANTARA,0,ORANG,2016
158,32,JAWA BARAT,BATU KUDA,WISATAWAN MANCANEGARA,0,ORANG,2016
159,32,JAWA BARAT,LHI JAYAGIRI,WISATAWAN NUSANTARA,27140,ORANG,2016
160,32,JAWA BARAT,LHI JAYAGIRI,WISATAWAN MANCANEGARA,0,ORANG,2016
161,32,JAWA BARAT,CURUG CILEAT,WISATAWAN NUSANTARA,40074,ORANG,2016
162,32,JAWA BARAT,CURUG CILEAT,WISATAWAN MANCANEGARA,0,ORANG,2016
163,32,JAWA BARAT,CURUG LAYUNG,WISATAWAN NUSANTARA,7260,ORANG,2016
164,32,JAWA BARAT,CURUG LAYUNG,WISATAWAN MANCANEGARA,0,ORANG,2016
165,32,JAWA BARAT,CURUG CIMAHI,WISATAWAN NUSANTARA,27793,ORANG,2016
166,32,JAWA BARAT,CURUG CIMAHI,WISATAWAN MANCANEGARA,0,ORANG,2016
167,32,JAWA BARAT,CURUG PANGANTEN,WISATAWAN NUSANTARA,82904,ORANG,2016
168,32,JAWA BARAT,CURUG PANGANTEN,WISATAWAN MANCANEGARA,0,ORANG,2016
169,32,JAWA BARAT,CURUG TILU LEUWI OPAT,WISATAWAN NUSANTARA,0,ORANG,2016
170,32,JAWA BARAT,CURUG TILU LEUWI OPAT,WISATAWAN MANCANEGARA,0,ORANG,2016
171,32,JAWA BARAT,CIWANGUN INDAH CAM (PARKIR),WISATAWAN NUSANTARA,0,ORANG,2016
172,32,JAWA BARAT,CIWANGUN INDAH CAM (PARKIR),WISATAWAN MANCANEGARA,0,ORANG,2016
173,32,JAWA BARAT,GRAFIKA CIKOLE,WISATAWAN NUSANTARA,0,ORANG,2016
174,32,JAWA BARAT,GRAFIKA CIKOLE,WISATAWAN MANCANEGARA,0,ORANG,2016
175,32,JAWA BARAT,WAR GAMES,WISATAWAN NUSANTARA,0,ORANG,2016
176,32,JAWA BARAT,WAR GAMES,WISATAWAN MANCANEGARA,0,ORANG,2016
177,32,JAWA BARAT,CURUG CIJALU,WISATAWAN NUSANTARA,0,ORANG,2016
178,32,JAWA BARAT,CURUG CIJALU,WISATAWAN MANCANEGARA,0,ORANG,2016
179,32,JAWA BARAT,TALAGA CIKAHURIPAN,WISATAWAN NUSANTARA,0,ORANG,2016
180,32,JAWA BARAT,TALAGA CIKAHURIPAN,WISATAWAN MANCANEGARA,0,ORANG,2016
181,32,JAWA BARAT,CURUG CILENGKRANG,WISATAWAN NUSANTARA,21781,ORANG,2016
182,32,JAWA BARAT,CURUG CILENGKRANG,WISATAWAN MANCANEGARA,0,ORANG,2016
183,32,JAWA BARAT,JOGING TRACK,WISATAWAN NUSANTARA,7524,ORANG,2016
184,32,JAWA BARAT,JOGING TRACK,WISATAWAN MANCANEGARA,0,ORANG,2016
185,32,JAWA BARAT,CURUG CIBAREUBEUY,WISATAWAN NUSANTARA,0,ORANG,2016
186,32,JAWA BARAT,CURUG CIBAREUBEUY,WISATAWAN MANCANEGARA,0,ORANG,2016
187,32,JAWA BARAT,BUPER CIKOLE,WISATAWAN NUSANTARA,1651,ORANG,2016
188,32,JAWA BARAT,BUPER CIKOLE,WISATAWAN MANCANEGARA,0,ORANG,2016
189,32,JAWA BARAT,JUMLAH KPH BANDUNG UTARA,WISATAWAN NUSANTARA,0,ORANG,2016
190,32,JAWA BARAT,JUMLAH KPH BANDUNG UTARA,WISATAWAN MANCANEGARA,0,ORANG,2016
191,32,JAWA BARAT,KPH BANDUNG SELATAN,WISATAWAN NUSANTARA,0,ORANG,2016
192,32,JAWA BARAT,KPH BANDUNG SELATAN,WISATAWAN MANCANEGARA,0,ORANG,2016
193,32,JAWA BARAT,GUNUNG PUNTANG,WISATAWAN NUSANTARA,0,ORANG,2016
194,32,JAWA BARAT,GUNUNG PUNTANG,WISATAWAN MANCANEGARA,0,ORANG,2016
195,32,JAWA BARAT,EMTE HIGHLAND (PARKIR),WISATAWAN NUSANTARA,0,ORANG,2016
196,32,JAWA BARAT,EMTE HIGHLAND (PARKIR),WISATAWAN MANCANEGARA,0,ORANG,2016
197,32,JAWA BARAT,KAMOJANG,WISATAWAN NUSANTARA,0,ORANG,2016
198,32,JAWA BARAT,KAMOJANG,WISATAWAN MANCANEGARA,0,ORANG,2016
199,32,JAWA BARAT,HULU SUNGAI CITARUM (CISANTI),WISATAWAN NUSANTARA,0,ORANG,2016
200,32,JAWA BARAT,HULU SUNGAI CITARUM (CISANTI),WISATAWAN MANCANEGARA,0,ORANG,2016
201,32,JAWA BARAT,CURUG SAWER,WISATAWAN NUSANTARA,0,ORANG,2016
202,32,JAWA BARAT,CURUG SAWER,WISATAWAN MANCANEGARA,0,ORANG,2016
203,32,JAWA BARAT,GN. PADANG,WISATAWAN NUSANTARA,0,ORANG,2016
204,32,JAWA BARAT,GN. PADANG,WISATAWAN MANCANEGARA,0,ORANG,2016
205,32,JAWA BARAT,PUNCELING,WISATAWAN NUSANTARA,0,ORANG,2016
