Jenis Hotel,,,,,,,,,,,,,
,Tingkat Penghunian Kamar Hotel (Persen),,,,,,,,,,,,
,2025,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
1.a. Hotel Bintang 1,29.15,30.15,17.32,29.85,27.46,26.59,28.79,23.71,23.96,25.73,27.66,29.65,-
1.b. Hotel Bintang 2,45.83,42.94,30.08,48.15,49.59,46.4,45.23,45.44,43.89,46.98,48.52,52.49,-
1.c. Hotel Bintang 3,43.33,41.22,26.75,43.38,42.88,44.12,45.6,41.75,41.97,45.13,48.44,52.99,-
1.d. Hotel Bintang 4,52.08,50.53,30.92,49.98,52.62,51.2,55.82,50.61,51.3,58.1,61.6,65.96,-
1.e. Hotel Bintang 5,58.79,54.18,32.58,50.23,48.65,54.27,56.97,54.51,51.78,56.81,62.3,69.47,-
1. Hotel Berbintang Total,47.59,45.51,28.77,46.37,47.08,47.08,49.52,45.75,45.66,50.24,53.54,58.13,-
2.a. Hotel NonBintang; kamar <10,17.01,14.3,7.99,23.43,19.78,19.12,17.63,17.43,15.76,15.3,17.35,23.69,-
2.b. Hotel NonBintang; kamar 10-24,23.07,20.7,13.36,26.27,22.53,23.14,22.39,21,22.46,21.78,22.85,27.27,-
2.c. Hotel NonBintang; kamar 25-40,27.22,24.32,17.79,27.26,25.8,25.56,24.73,24.64,25.29,25.57,27,29.84,-
2.d. Hotel NonBintang; kamar >40,22.79,20.86,13.64,25.01,24.05,22.9,23.52,22.13,22.93,23.18,24.04,27.57,-
2. Hotel NonBintang Total,23.72,21.33,14.37,25.76,23.42,23.14,22.68,21.76,22.43,22.26,23.48,27.51,-
3. Hotel Berbintang dan NonBintang Total,40.08,37.88,24.28,38.07,37.59,37.5,38.8,36.12,36.33,38.9,41.41,45.75,-
