id,kode_provinsi,nama_provinsi,pengelola_kawasan,jenis_wisatawan,jumlah_wisatawan,satuan,tahun,data_flag,tipe_pengelola
2249,32,JAWA BARAT,BALAI BESAR KSDA JABAR,WISATAWAN NUSANTARA,0,ORANG,2022,INCOMPLETE_YEAR,BKSDA
294,32,JAWA BARAT,BALAI BESAR TN. GN. GEDE PANGRANGO,WISATAWAN MANCANEGARA,0,ORANG,2017,NORMAL,TN
558,32,JAWA BARAT,BALAI BESAR TN. GN. GEDE PANGRANGO,WISATAWAN MANCANEGARA,0,ORANG,2018,NORMAL,TN
822,32,JAWA BARAT,BALAI BESAR TN. GN. GEDE PANGRANGO,WISATAWAN MANCANEGARA,0,ORANG,2019,NORMAL,TN
1292,32,JAWA BARAT,BALAI BESAR TN. GN. GEDE PANGRANGO,WISATAWAN MANCANEGARA,0,ORANG,2020,SUSPECT_COPY,TN
1762,32,JAWA BARAT,BALAI BESAR TN. GN. GEDE PANGRANGO,WISATAWAN MANCANEGARA,0,ORANG,2021,NORMAL,TN
2232,32,JAWA BARAT,BALAI BESAR TN. GN. GEDE PANGRANGO,WISATAWAN MANCANEGARA,0,ORANG,2022,INCOMPLETE_YEAR,TN
293,32,JAWA BARAT,BALAI BESAR TN. GN. GEDE PANGRANGO,WISATAWAN NUSANTARA,0,ORANG,2017,NORMAL,TN
557,32,JAWA BARAT,BALAI BESAR TN. GN. GEDE PANGRANGO,WISATAWAN NUSANTARA,0,ORANG,2018,NORMAL,TN
821,32,JAWA BARAT,BALAI BESAR TN. GN. GEDE PANGRANGO,WISATAWAN NUSANTARA,0,ORANG,2019,NORMAL,TN
1291,32,JAWA BARAT,BALAI BESAR TN. GN. GEDE PANGRANGO,WISATAWAN NUSANTARA,0,ORANG,2020,SUSPECT_COPY,TN
1761,32,JAWA BARAT,BALAI BESAR TN. GN. GEDE PANGRANGO,WISATAWAN NUSANTARA,0,ORANG,2021,NORMAL,TN
2231,32,JAWA BARAT,BALAI BESAR TN. GN. GEDE PANGRANGO,WISATAWAN NUSANTARA,0,ORANG,2022,INCOMPLETE_YEAR,TN
2,32,JAWA BARAT,BALAI BESAR TN.GN. GEDEPANGRANGO,WISATAWAN MANCANEGARA,1030,ORANG,2016,NORMAL,TN
1,32,JAWA BARAT,BALAI BESAR TN.GN. GEDEPANGRANGO,WISATAWAN NUSANTARA,161154,ORANG,2016,NORMAL,TN
16,32,JAWA BARAT,BALAI PENGELOLAAN TAHURA IR. H. DJUANDA,WISATAWAN MANCANEGARA,0,ORANG,2016,NORMAL,TAHURA
306,32,JAWA BARAT,BALAI PENGELOLAAN TAHURA IR. H. DJUANDA,WISATAWAN MANCANEGARA,0,ORANG,2017,NORMAL,TAHURA
15,32,JAWA BARAT,BALAI PENGELOLAAN TAHURA IR. H. DJUANDA,WISATAWAN NUSANTARA,0,ORANG,2016,NORMAL,TAHURA
305,32,JAWA BARAT,BALAI PENGELOLAAN TAHURA IR. H. DJUANDA,WISATAWAN NUSANTARA,0,ORANG,2017,NORMAL,TAHURA
10,32,JAWA BARAT,BALAI TN. GN. CIREMAI,WISATAWAN MANCANEGARA,15,ORANG,2016,NORMAL,TN
302,32,JAWA BARAT,BALAI TN. GN. CIREMAI,WISATAWAN MANCANEGARA,0,ORANG,2017,NORMAL,TN
566,32,JAWA BARAT,BALAI TN. GN. CIREMAI,WISATAWAN MANCANEGARA,0,ORANG,2018,NORMAL,TN
830,32,JAWA BARAT,BALAI TN. GN. CIREMAI,WISATAWAN MANCANEGARA,0,ORANG,2019,NORMAL,TN
1300,32,JAWA BARAT,BALAI TN. GN. CIREMAI,WISATAWAN MANCANEGARA,0,ORANG,2020,SUSPECT_COPY,TN
1770,32,JAWA BARAT,BALAI TN. GN. CIREMAI,WISATAWAN MANCANEGARA,0,ORANG,2021,NORMAL,TN
2240,32,JAWA BARAT,BALAI TN. GN. CIREMAI,WISATAWAN MANCANEGARA,0,ORANG,2022,INCOMPLETE_YEAR,TN
9,32,JAWA BARAT,BALAI TN. GN. CIREMAI,WISATAWAN NUSANTARA,405747,ORANG,2016,NORMAL,TN
301,32,JAWA BARAT,BALAI TN. GN. CIREMAI,WISATAWAN NUSANTARA,0,ORANG,2017,NORMAL,TN
565,32,JAWA BARAT,BALAI TN. GN. CIREMAI,WISATAWAN NUSANTARA,6,ORANG,2018,NORMAL,TN
829,32,JAWA BARAT,BALAI TN. GN. CIREMAI,WISATAWAN NUSANTARA,12,ORANG,2019,NORMAL,TN
1299,32,JAWA BARAT,BALAI TN. GN. CIREMAI,WISATAWAN NUSANTARA,12,ORANG,2020,SUSPECT_COPY,TN
1769,32,JAWA BARAT,BALAI TN. GN. CIREMAI,WISATAWAN NUSANTARA,0,ORANG,2021,NORMAL,TN
2239,32,JAWA BARAT,BALAI TN. GN. CIREMAI,WISATAWAN NUSANTARA,0,ORANG,2022,INCOMPLETE_YEAR,TN
298,32,JAWA BARAT,BALAI TN. GN. HALIMUN SALAK,WISATAWAN MANCANEGARA,0,ORANG,2017,NORMAL,TN
562,32,JAWA BARAT,BALAI TN. GN. HALIMUN SALAK,WISATAWAN MANCANEGARA,0,ORANG,2018,NORMAL,TN
826,32,JAWA BARAT,BALAI TN. GN. HALIMUN SALAK,WISATAWAN MANCANEGARA,0,ORANG,2019,NORMAL,TN
1296,32,JAWA BARAT,BALAI TN. GN. HALIMUN SALAK,WISATAWAN MANCANEGARA,0,ORANG,2020,SUSPECT_COPY,TN
1766,32,JAWA BARAT,BALAI TN. GN. HALIMUN SALAK,WISATAWAN MANCANEGARA,0,ORANG,2021,NORMAL,TN
