tahun,bulan,jenis_hotel,tpk
2021,Februari,3. Hotel Berbintang dan NonBintang Total,33.85
2022,Februari,1.a. Hotel Bintang 1,
2022,Februari,1.b. Hotel Bintang 2,
2022,Februari,1.c. Hotel Bintang 3,
2022,Februari,1.d. Hotel Bintang 4,
2022,Februari,1.e. Hotel Bintang 5,
2022,Februari,1. Hotel Berbintang Total,39.04
2022,Februari,2.a. Hotel NonBintang; kamar <10,
2022,Februari,2.b. Hotel NonBintang; kamar 10-24,
2022,Februari,2.c. Hotel NonBintang; kamar 25-40,
2022,Februari,2.d. Hotel NonBintang; kamar >40,
2022,Februari,2. Hotel NonBintang Total,22.28
2022,Februari,3. Hotel Berbintang dan NonBintang Total,
2023,Februari,1.a. Hotel Bintang 1,
2023,Februari,1.b. Hotel Bintang 2,
2023,Februari,1.c. Hotel Bintang 3,
2023,Februari,1.d. Hotel Bintang 4,
2023,Februari,1.e. Hotel Bintang 5,
2023,Februari,1. Hotel Berbintang Total,49.39
2023,Februari,2.a. Hotel NonBintang; kamar <10,
2023,Februari,2.b. Hotel NonBintang; kamar 10-24,
2023,Februari,2.c. Hotel NonBintang; kamar 25-40,
2023,Februari,2.d. Hotel NonBintang; kamar >40,
2023,Februari,2. Hotel NonBintang Total,19.97
2023,Februari,3. Hotel Berbintang dan NonBintang Total,38.93
2024,Februari,1.a. Hotel Bintang 1,30.0
2024,Februari,1.b. Hotel Bintang 2,45.65
2024,Februari,1.c. Hotel Bintang 3,46.7
2024,Februari,1.d. Hotel Bintang 4,54.84
2024,Februari,1.e. Hotel Bintang 5,63.31
2024,Februari,1. Hotel Berbintang Total,49.09
2024,Februari,2.a. Hotel NonBintang; kamar <10,16.25
2024,Februari,2.b. Hotel NonBintang; kamar 10-24,25.99
2024,Februari,2.c. Hotel NonBintang; kamar 25-40,28.71
2024,Februari,2.d. Hotel NonBintang; kamar >40,22.94
2024,Februari,2. Hotel NonBintang Total,24.49
2024,Februari,3. Hotel Berbintang dan NonBintang Total,40.03
2025,Februari,1.a. Hotel Bintang 1,30.15
2025,Februari,1.b. Hotel Bintang 2,42.94
2025,Februari,1.c. Hotel Bintang 3,41.22
2025,Februari,1.d. Hotel Bintang 4,50.53
2025,Februari,1.e. Hotel Bintang 5,54.18
2025,Februari,1. Hotel Berbintang Total,45.51
