tahun,bulan,jenis_hotel,tpk
2020,Juli,3. Hotel Berbintang dan NonBintang Total,27.17
2021,Juli,1.a. Hotel Bintang 1,
2021,Juli,1.b. Hotel Bintang 2,
2021,Juli,1.c. Hotel Bintang 3,
2021,Juli,1.d. Hotel Bintang 4,
2021,Juli,1.e. Hotel Bintang 5,
2021,Juli,1. Hotel Berbintang Total,19.48
2021,Juli,2.a. Hotel NonBintang; kamar <10,
2021,Juli,2.b. Hotel NonBintang; kamar 10-24,
2021,Juli,2.c. Hotel NonBintang; kamar 25-40,
2021,Juli,2.d. Hotel NonBintang; kamar >40,
2021,Juli,2. Hotel NonBintang Total,11.11
2021,Juli,3. Hotel Berbintang dan NonBintang Total,16.94
2022,Juli,1.a. Hotel Bintang 1,
2022,Juli,1.b. Hotel Bintang 2,
2022,Juli,1.c. Hotel Bintang 3,
2022,Juli,1.d. Hotel Bintang 4,
2022,Juli,1.e. Hotel Bintang 5,
2022,Juli,1. Hotel Berbintang Total,53.48
2022,Juli,2.a. Hotel NonBintang; kamar <10,
2022,Juli,2.b. Hotel NonBintang; kamar 10-24,
2022,Juli,2.c. Hotel NonBintang; kamar 25-40,
2022,Juli,2.d. Hotel NonBintang; kamar >40,
2022,Juli,2. Hotel NonBintang Total,25.12
2022,Juli,3. Hotel Berbintang dan NonBintang Total,
2023,Juli,1.a. Hotel Bintang 1,
2023,Juli,1.b. Hotel Bintang 2,
2023,Juli,1.c. Hotel Bintang 3,
2023,Juli,1.d. Hotel Bintang 4,
2023,Juli,1.e. Hotel Bintang 5,
2023,Juli,1. Hotel Berbintang Total,
2023,Juli,2.a. Hotel NonBintang; kamar <10,
2023,Juli,2.b. Hotel NonBintang; kamar 10-24,
2023,Juli,2.c. Hotel NonBintang; kamar 25-40,
2023,Juli,2.d. Hotel NonBintang; kamar >40,
2023,Juli,2. Hotel NonBintang Total,
2023,Juli,3. Hotel Berbintang dan NonBintang Total,
2024,Juli,1.a. Hotel Bintang 1,31.25
2024,Juli,1.b. Hotel Bintang 2,54.24
2024,Juli,1.c. Hotel Bintang 3,53.85
2024,Juli,1.d. Hotel Bintang 4,62.09
2024,Juli,1.e. Hotel Bintang 5,65.98
2024,Juli,1. Hotel Berbintang Total,55.94
2024,Juli,2.a. Hotel NonBintang; kamar <10,17.85
2024,Juli,2.b. Hotel NonBintang; kamar 10-24,25.04
2024,Juli,2.c. Hotel NonBintang; kamar 25-40,27.67
2024,Juli,2.d. Hotel NonBintang; kamar >40,22.44
2024,Juli,2. Hotel NonBintang Total,23.87
2024,Juli,3. Hotel Berbintang dan NonBintang Total,44.96
2025,Juli,1.a. Hotel Bintang 1,28.79
2025,Juli,1.b. Hotel Bintang 2,45.23
2025,Juli,1.c. Hotel Bintang 3,45.6
2025,Juli,1.d. Hotel Bintang 4,55.82
2025,Juli,1.e. Hotel Bintang 5,56.97
2025,Juli,1. Hotel Berbintang Total,49.52
2025,Juli,2.a. Hotel NonBintang; kamar <10,17.63
2025,Juli,2.b. Hotel NonBintang; kamar 10-24,22.39
2025,Juli,2.c. Hotel NonBintang; kamar 25-40,24.73
2025,Juli,2.d. Hotel NonBintang; kamar >40,23.52
2025,Juli,2. Hotel NonBintang Total,22.68
2025,Juli,3. Hotel Berbintang dan NonBintang Total,38.8
2019,Agustus,1.a. Hotel Bintang 1,
2019,Agustus,1.b. Hotel Bintang 2,
2019,Agustus,1.c. Hotel Bintang 3,
2019,Agustus,1.d. Hotel Bintang 4,
2019,Agustus,1.e. Hotel Bintang 5,
2019,Agustus,1. Hotel Berbintang Total,49.58
2019,Agustus,2.a. Hotel NonBintang; kamar <10,
2019,Agustus,2.b. Hotel NonBintang; kamar 10-24,
2019,Agustus,2.c. Hotel NonBintang; kamar 25-40,
2019,Agustus,2.d. Hotel NonBintang; kamar >40,
2019,Agustus,2. Hotel NonBintang Total,36.35
2019,Agustus,3. Hotel Berbintang dan NonBintang Total,46.26
2020,Agustus,1.a. Hotel Bintang 1,
2020,Agustus,1.b. Hotel Bintang 2,
2020,Agustus,1.c. Hotel Bintang 3,
2020,Agustus,1.d. Hotel Bintang 4,
2020,Agustus,1.e. Hotel Bintang 5,
2020,Agustus,1. Hotel Berbintang Total,40.82
2020,Agustus,2.a. Hotel NonBintang; kamar <10,
2020,Agustus,2.b. Hotel NonBintang; kamar 10-24,
2020,Agustus,2.c. Hotel NonBintang; kamar 25-40,
2020,Agustus,2.d. Hotel NonBintang; kamar >40,
2020,Agustus,2. Hotel NonBintang Total,19.34
2020,Agustus,3. Hotel Berbintang dan NonBintang Total,34.95
2021,Agustus,1.a. Hotel Bintang 1,
2021,Agustus,1.b. Hotel Bintang 2,
2021,Agustus,1.c. Hotel Bintang 3,
2021,Agustus,1.d. Hotel Bintang 4,
2021,Agustus,1.e. Hotel Bintang 5,
2021,Agustus,1. Hotel Berbintang Total,27.49
2021,Agustus,2.a. Hotel NonBintang; kamar <10,
2021,Agustus,2.b. Hotel NonBintang; kamar 10-24,
2021,Agustus,2.c. Hotel NonBintang; kamar 25-40,
2021,Agustus,2.d. Hotel NonBintang; kamar >40,
2021,Agustus,2. Hotel NonBintang Total,18.25
2021,Agustus,3. Hotel Berbintang dan NonBintang Total,24.95
2022,Agustus,1.a. Hotel Bintang 1,
2022,Agustus,1.b. Hotel Bintang 2,
2022,Agustus,1.c. Hotel Bintang 3,
2022,Agustus,1.d. Hotel Bintang 4,
2022,Agustus,1.e. Hotel Bintang 5,
2022,Agustus,1. Hotel Berbintang Total,50.73
2022,Agustus,2.a. Hotel NonBintang; kamar <10,
2022,Agustus,2.b. Hotel NonBintang; kamar 10-24,
2022,Agustus,2.c. Hotel NonBintang; kamar 25-40,
2022,Agustus,2.d. Hotel NonBintang; kamar >40,
2022,Agustus,2. Hotel NonBintang Total,23.74
2022,Agustus,3. Hotel Berbintang dan NonBintang Total,
2023,Agustus,1.a. Hotel Bintang 1,
2023,Agustus,1.b. Hotel Bintang 2,
2023,Agustus,1.c. Hotel Bintang 3,
2023,Agustus,1.d. Hotel Bintang 4,
2023,Agustus,1.e. Hotel Bintang 5,
2023,Agustus,1. Hotel Berbintang Total,
2023,Agustus,2.a. Hotel NonBintang; kamar <10,
2023,Agustus,2.b. Hotel NonBintang; kamar 10-24,
2023,Agustus,2.c. Hotel NonBintang; kamar 25-40,
2023,Agustus,2.d. Hotel NonBintang; kamar >40,
2023,Agustus,2. Hotel NonBintang Total,
2023,Agustus,3. Hotel Berbintang dan NonBintang Total,
2024,Agustus,1.a. Hotel Bintang 1,32.96
2024,Agustus,1.b. Hotel Bintang 2,49.26
2024,Agustus,1.c. Hotel Bintang 3,48.62
2024,Agustus,1.d. Hotel Bintang 4,55.98
2024,Agustus,1.e. Hotel Bintang 5,64.45
2024,Agustus,1. Hotel Berbintang Total,51.09
2024,Agustus,2.a. Hotel NonBintang; kamar <10,17.29
2024,Agustus,2.b. Hotel NonBintang; kamar 10-24,23.73
2024,Agustus,2.c. Hotel NonBintang; kamar 25-40,27.02
2024,Agustus,2.d. Hotel NonBintang; kamar >40,20.8
2024,Agustus,2. Hotel NonBintang Total,22.69
2024,Agustus,3. Hotel Berbintang dan NonBintang Total,41.44
2025,Agustus,1.a. Hotel Bintang 1,23.71
2025,Agustus,1.b. Hotel Bintang 2,45.44
2025,Agustus,1.c. Hotel Bintang 3,41.75
2025,Agustus,1.d. Hotel Bintang 4,50.61
2025,Agustus,1.e. Hotel Bintang 5,54.51
2025,Agustus,1. Hotel Berbintang Total,45.75
2025,Agustus,2.a. Hotel NonBintang; kamar <10,17.43
2025,Agustus,2.b. Hotel NonBintang; kamar 10-24,21.0
2025,Agustus,2.c. Hotel NonBintang; kamar 25-40,24.64
2025,Agustus,2.d. Hotel NonBintang; kamar >40,22.13
2025,Agustus,2. Hotel NonBintang Total,21.76
2025,Agustus,3. Hotel Berbintang dan NonBintang Total,36.12
2019,September,1.a. Hotel Bintang 1,
2019,September,1.b. Hotel Bintang 2,
2019,September,1.c. Hotel Bintang 3,
2019,September,1.d. Hotel Bintang 4,
2019,September,1.e. Hotel Bintang 5,
2019,September,1. Hotel Berbintang Total,50.6
2019,September,2.a. Hotel NonBintang; kamar <10,
2019,September,2.b. Hotel NonBintang; kamar 10-24,
2019,September,2.c. Hotel NonBintang; kamar 25-40,
2019,September,2.d. Hotel NonBintang; kamar >40,
2019,September,2. Hotel NonBintang Total,36.51
2019,September,3. Hotel Berbintang dan NonBintang Total,47.57
2020,September,1.a. Hotel Bintang 1,
2020,September,1.b. Hotel Bintang 2,
2020,September,1.c. Hotel Bintang 3,
2020,September,1.d. Hotel Bintang 4,
2020,September,1.e. Hotel Bintang 5,
2020,September,1. Hotel Berbintang Total,37.43
2020,September,2.a. Hotel NonBintang; kamar <10,
2020,September,2.b. Hotel NonBintang; kamar 10-24,
2020,September,2.c. Hotel NonBintang; kamar 25-40,
2020,September,2.d. Hotel NonBintang; kamar >40,
2020,September,2. Hotel NonBintang Total,19.98
2020,September,3. Hotel Berbintang dan NonBintang Total,32.68
2021,September,1.a. Hotel Bintang 1,
2021,September,1.b. Hotel Bintang 2,
2021,September,1.c. Hotel Bintang 3,
2021,September,1.d. Hotel Bintang 4,
2021,September,1.e. Hotel Bintang 5,
2021,September,1. Hotel Berbintang Total,44.59
2021,September,2.a. Hotel NonBintang; kamar <10,
2021,September,2.b. Hotel NonBintang; kamar 10-24,
2021,September,2.c. Hotel NonBintang; kamar 25-40,
2021,September,2.d. Hotel NonBintang; kamar >40,
2021,September,2. Hotel NonBintang Total,20.13
2021,September,3. Hotel Berbintang dan NonBintang Total,37.33
2022,September,1.a. Hotel Bintang 1,
2022,September,1.b. Hotel Bintang 2,
2022,September,1.c. Hotel Bintang 3,
2022,September,1.d. Hotel Bintang 4,
2022,September,1.e. Hotel Bintang 5,
2022,September,1. Hotel Berbintang Total,53.97
2022,September,2.a. Hotel NonBintang; kamar <10,
2022,September,2.b. Hotel NonBintang; kamar 10-24,
2022,September,2.c. Hotel NonBintang; kamar 25-40,
2022,September,2.d. Hotel NonBintang; kamar >40,
2022,September,2. Hotel NonBintang Total,22.54
2022,September,3. Hotel Berbintang dan NonBintang Total,
2023,September,1.a. Hotel Bintang 1,
2023,September,1.b. Hotel Bintang 2,
2023,September,1.c. Hotel Bintang 3,
2023,September,1.d. Hotel Bintang 4,
2023,September,1.e. Hotel Bintang 5,
2023,September,1. Hotel Berbintang Total,
2023,September,2.a. Hotel NonBintang; kamar <10,
2023,September,2.b. Hotel NonBintang; kamar 10-24,
2023,September,2.c. Hotel NonBintang; kamar 25-40,
2023,September,2.d. Hotel NonBintang; kamar >40,
2023,September,2. Hotel NonBintang Total,
2023,September,3. Hotel Berbintang dan NonBintang Total,
2024,September,1.a. Hotel Bintang 1,33.84
2024,September,1.b. Hotel Bintang 2,50.83
2024,September,1.c. Hotel Bintang 3,49.73
2024,September,1.d. Hotel Bintang 4,57.08
2024,September,1.e. Hotel Bintang 5,59.86
2024,September,1. Hotel Berbintang Total,51.97
2024,September,2.a. Hotel NonBintang; kamar <10,17.92
2024,September,2.b. Hotel NonBintang; kamar 10-24,24.44
2024,September,2.c. Hotel NonBintang; kamar 25-40,27.8
2024,September,2.d. Hotel NonBintang; kamar >40,20.42
2024,September,2. Hotel NonBintang Total,23.01
2024,September,3. Hotel Berbintang dan NonBintang Total,42.09
2025,September,1.a. Hotel Bintang 1,23.96
2025,September,1.b. Hotel Bintang 2,43.89
2025,September,1.c. Hotel Bintang 3,41.97
2025,September,1.d. Hotel Bintang 4,51.3
2025,September,1.e. Hotel Bintang 5,51.78
2025,September,1. Hotel Berbintang Total,45.66
2025,September,2.a. Hotel NonBintang; kamar <10,15.76
2025,September,2.b. Hotel NonBintang; kamar 10-24,22.46
2025,September,2.c. Hotel NonBintang; kamar 25-40,25.29
2025,September,2.d. Hotel NonBintang; kamar >40,22.93
2025,September,2. Hotel NonBintang Total,22.43
2025,September,3. Hotel Berbintang dan NonBintang Total,36.33
2019,Oktober,1.a. Hotel Bintang 1,
2019,Oktober,1.b. Hotel Bintang 2,
2019,Oktober,1.c. Hotel Bintang 3,
2019,Oktober,1.d. Hotel Bintang 4,
2019,Oktober,1.e. Hotel Bintang 5,
2019,Oktober,1. Hotel Berbintang Total,56.07
2019,Oktober,2.a. Hotel NonBintang; kamar <10,
2019,Oktober,2.b. Hotel NonBintang; kamar 10-24,
2019,Oktober,2.c. Hotel NonBintang; kamar 25-40,
2019,Oktober,2.d. Hotel NonBintang; kamar >40,
2019,Oktober,2. Hotel NonBintang Total,34.33
2019,Oktober,3. Hotel Berbintang dan NonBintang Total,50.36
2020,Oktober,1.a. Hotel Bintang 1,
2020,Oktober,1.b. Hotel Bintang 2,
2020,Oktober,1.c. Hotel Bintang 3,
2020,Oktober,1.d. Hotel Bintang 4,
2020,Oktober,1.e. Hotel Bintang 5,
2020,Oktober,1. Hotel Berbintang Total,43.57
2020,Oktober,2.a. Hotel NonBintang; kamar <10,
2020,Oktober,2.b. Hotel NonBintang; kamar 10-24,
2020,Oktober,2.c. Hotel NonBintang; kamar 25-40,
2020,Oktober,2.d. Hotel NonBintang; kamar >40,
2020,Oktober,2. Hotel NonBintang Total,20.39
2020,Oktober,3. Hotel Berbintang dan NonBintang Total,37.02
2021,Oktober,1.a. Hotel Bintang 1,
2021,Oktober,1.b. Hotel Bintang 2,
2021,Oktober,1.c. Hotel Bintang 3,
2021,Oktober,1.d. Hotel Bintang 4,
2021,Oktober,1.e. Hotel Bintang 5,
2021,Oktober,1. Hotel Berbintang Total,54.03
2021,Oktober,2.a. Hotel NonBintang; kamar <10,
2021,Oktober,2.b. Hotel NonBintang; kamar 10-24,
2021,Oktober,2.c. Hotel NonBintang; kamar 25-40,
2021,Oktober,2.d. Hotel NonBintang; kamar >40,
2021,Oktober,2. Hotel NonBintang Total,23.61
2021,Oktober,3. Hotel Berbintang dan NonBintang Total,44.68
2022,Oktober,1.a. Hotel Bintang 1,
2022,Oktober,1.b. Hotel Bintang 2,
2022,Oktober,1.c. Hotel Bintang 3,
2022,Oktober,1.d. Hotel Bintang 4,
2022,Oktober,1.e. Hotel Bintang 5,
2022,Oktober,1. Hotel Berbintang Total,57.67
2022,Oktober,2.a. Hotel NonBintang; kamar <10,
2022,Oktober,2.b. Hotel NonBintang; kamar 10-24,
2022,Oktober,2.c. Hotel NonBintang; kamar 25-40,
2022,Oktober,2.d. Hotel NonBintang; kamar >40,
2022,Oktober,2. Hotel NonBintang Total,23.39
2022,Oktober,3. Hotel Berbintang dan NonBintang Total,
2023,Oktober,1.a. Hotel Bintang 1,
2023,Oktober,1.b. Hotel Bintang 2,
2023,Oktober,1.c. Hotel Bintang 3,
2023,Oktober,1.d. Hotel Bintang 4,
2023,Oktober,1.e. Hotel Bintang 5,
2023,Oktober,1. Hotel Berbintang Total,
2023,Oktober,2.a. Hotel NonBintang; kamar <10,
2023,Oktober,2.b. Hotel NonBintang; kamar 10-24,
2023,Oktober,2.c. Hotel NonBintang; kamar 25-40,
2023,Oktober,2.d. Hotel NonBintang; kamar >40,
2023,Oktober,2. Hotel NonBintang Total,
2023,Oktober,3. Hotel Berbintang dan NonBintang Total,
2024,Oktober,1.a. Hotel Bintang 1,31.73
2024,Oktober,1.b. Hotel Bintang 2,52.34
2024,Oktober,1.c. Hotel Bintang 3,49.26
2024,Oktober,1.d. Hotel Bintang 4,61.55
2024,Oktober,1.e. Hotel Bintang 5,63.45
2024,Oktober,1. Hotel Berbintang Total,53.85
2024,Oktober,2.a. Hotel NonBintang; kamar <10,13.89
2024,Oktober,2.b. Hotel NonBintang; kamar 10-24,23.19
2024,Oktober,2.c. Hotel NonBintang; kamar 25-40,28.11
2024,Oktober,2.d. Hotel NonBintang; kamar >40,21.03
2024,Oktober,2. Hotel NonBintang Total,23.1
2024,Oktober,3. Hotel Berbintang dan NonBintang Total,44.82
2025,Oktober,1.a. Hotel Bintang 1,25.73
2025,Oktober,1.b. Hotel Bintang 2,46.98
2025,Oktober,1.c. Hotel Bintang 3,45.13
2025,Oktober,1.d. Hotel Bintang 4,58.1
2025,Oktober,1.e. Hotel Bintang 5,56.81
2025,Oktober,1. Hotel Berbintang Total,50.24
2025,Oktober,2.a. Hotel NonBintang; kamar <10,15.3
2025,Oktober,2.b. Hotel NonBintang; kamar 10-24,21.78
2025,Oktober,2.c. Hotel NonBintang; kamar 25-40,25.57
2025,Oktober,2.d. Hotel NonBintang; kamar >40,23.18
2025,Oktober,2. Hotel NonBintang Total,22.26
2025,Oktober,3. Hotel Berbintang dan NonBintang Total,38.9
2019,November,1.a. Hotel Bintang 1,
2019,November,1.b. Hotel Bintang 2,
2019,November,1.c. Hotel Bintang 3,
2019,November,1.d. Hotel Bintang 4,
2019,November,1.e. Hotel Bintang 5,
2019,November,1. Hotel Berbintang Total,58.95
2019,November,2.a. Hotel NonBintang; kamar <10,
2019,November,2.b. Hotel NonBintang; kamar 10-24,
2019,November,2.c. Hotel NonBintang; kamar 25-40,
2019,November,2.d. Hotel NonBintang; kamar >40,
2019,November,2. Hotel NonBintang Total,32.73
2019,November,3. Hotel Berbintang dan NonBintang Total,51.59
2020,November,1.a. Hotel Bintang 1,
2020,November,1.b. Hotel Bintang 2,
2020,November,1.c. Hotel Bintang 3,
2020,November,1.d. Hotel Bintang 4,
2020,November,1.e. Hotel Bintang 5,
2020,November,1. Hotel Berbintang Total,48.89
2020,November,2.a. Hotel NonBintang; kamar <10,
2020,November,2.b. Hotel NonBintang; kamar 10-24,
2020,November,2.c. Hotel NonBintang; kamar 25-40,
2020,November,2.d. Hotel NonBintang; kamar >40,
2020,November,2. Hotel NonBintang Total,20.95
2020,November,3. Hotel Berbintang dan NonBintang Total,41.31
2021,November,1.a. Hotel Bintang 1,
2021,November,1.b. Hotel Bintang 2,
2021,November,1.c. Hotel Bintang 3,
2021,November,1.d. Hotel Bintang 4,
2021,November,1.e. Hotel Bintang 5,
2021,November,1. Hotel Berbintang Total,54.14
2021,November,2.a. Hotel NonBintang; kamar <10,
2021,November,2.b. Hotel NonBintang; kamar 10-24,
2021,November,2.c. Hotel NonBintang; kamar 25-40,
2021,November,2.d. Hotel NonBintang; kamar >40,
2021,November,2. Hotel NonBintang Total,24.89
2021,November,3. Hotel Berbintang dan NonBintang Total,45.41
2022,November,1.a. Hotel Bintang 1,
2022,November,1.b. Hotel Bintang 2,
2022,November,1.c. Hotel Bintang 3,
2022,November,1.d. Hotel Bintang 4,
2022,November,1.e. Hotel Bintang 5,
2022,November,1. Hotel Berbintang Total,56.64
2022,November,2.a. Hotel NonBintang; kamar <10,
2022,November,2.b. Hotel NonBintang; kamar 10-24,
2022,November,2.c. Hotel NonBintang; kamar 25-40,
2022,November,2.d. Hotel NonBintang; kamar >40,
2022,November,2. Hotel NonBintang Total,24.18
2022,November,3. Hotel Berbintang dan NonBintang Total,
2023,November,1.a. Hotel Bintang 1,
2023,November,1.b. Hotel Bintang 2,
2023,November,1.c. Hotel Bintang 3,
2023,November,1.d. Hotel Bintang 4,
2023,November,1.e. Hotel Bintang 5,
2023,November,1. Hotel Berbintang Total,
2023,November,2.a. Hotel NonBintang; kamar <10,
2023,November,2.b. Hotel NonBintang; kamar 10-24,
2023,November,2.c. Hotel NonBintang; kamar 25-40,
2023,November,2.d. Hotel NonBintang; kamar >40,
2023,November,2. Hotel NonBintang Total,
2023,November,3. Hotel Berbintang dan NonBintang Total,
2024,November,1.a. Hotel Bintang 1,31.57
2024,November,1.b. Hotel Bintang 2,53.4
2024,November,1.c. Hotel Bintang 3,48.78
2024,November,1.d. Hotel Bintang 4,59.3
2024,November,1.e. Hotel Bintang 5,62.26
2024,November,1. Hotel Berbintang Total,52.99
2024,November,2.a. Hotel NonBintang; kamar <10,17.48
2024,November,2.b. Hotel NonBintang; kamar 10-24,24.2
2024,November,2.c. Hotel NonBintang; kamar 25-40,27.14
2024,November,2.d. Hotel NonBintang; kamar >40,20.3
2024,November,2. Hotel NonBintang Total,22.71
2024,November,3. Hotel Berbintang dan NonBintang Total,42.72
2025,November,1.a. Hotel Bintang 1,27.66
2025,November,1.b. Hotel Bintang 2,48.52
2025,November,1.c. Hotel Bintang 3,48.44
2025,November,1.d. Hotel Bintang 4,61.6
2025,November,1.e. Hotel Bintang 5,62.3
2025,November,1. Hotel Berbintang Total,53.54
2025,November,2.a. Hotel NonBintang; kamar <10,17.35
2025,November,2.b. Hotel NonBintang; kamar 10-24,22.85
2025,November,2.c. Hotel NonBintang; kamar 25-40,27.0
2025,November,2.d. Hotel NonBintang; kamar >40,24.04
2025,November,2. Hotel NonBintang Total,23.48
2025,November,3. Hotel Berbintang dan NonBintang Total,41.41
2019,Desember,1.a. Hotel Bintang 1,
2019,Desember,1.b. Hotel Bintang 2,
2019,Desember,1.c. Hotel Bintang 3,
2019,Desember,1.d. Hotel Bintang 4,
2019,Desember,1.e. Hotel Bintang 5,
2019,Desember,1. Hotel Berbintang Total,62.4
2019,Desember,2.a. Hotel NonBintang; kamar <10,
2019,Desember,2.b. Hotel NonBintang; kamar 10-24,
2019,Desember,2.c. Hotel NonBintang; kamar 25-40,
2019,Desember,2.d. Hotel NonBintang; kamar >40,
2019,Desember,2. Hotel NonBintang Total,34.4
2019,Desember,3. Hotel Berbintang dan NonBintang Total,54.82
2020,Desember,1.a. Hotel Bintang 1,
2020,Desember,1.b. Hotel Bintang 2,
2020,Desember,1.c. Hotel Bintang 3,
2020,Desember,1.d. Hotel Bintang 4,
2020,Desember,1.e. Hotel Bintang 5,
2020,Desember,1. Hotel Berbintang Total,45.22
2020,Desember,2.a. Hotel NonBintang; kamar <10,
2020,Desember,2.b. Hotel NonBintang; kamar 10-24,
2020,Desember,2.c. Hotel NonBintang; kamar 25-40,
2020,Desember,2.d. Hotel NonBintang; kamar >40,
2020,Desember,2. Hotel NonBintang Total,19.96
2020,Desember,3. Hotel Berbintang dan NonBintang Total,38.8
2021,Desember,1.a. Hotel Bintang 1,
2021,Desember,1.b. Hotel Bintang 2,
2021,Desember,1.c. Hotel Bintang 3,
2021,Desember,1.d. Hotel Bintang 4,
2021,Desember,1.e. Hotel Bintang 5,
2021,Desember,1. Hotel Berbintang Total,56.92
2021,Desember,2.a. Hotel NonBintang; kamar <10,
2021,Desember,2.b. Hotel NonBintang; kamar 10-24,
2021,Desember,2.c. Hotel NonBintang; kamar 25-40,
2021,Desember,2.d. Hotel NonBintang; kamar >40,
2021,Desember,2. Hotel NonBintang Total,25.58
2021,Desember,3. Hotel Berbintang dan NonBintang Total,47.53
2022,Desember,1.a. Hotel Bintang 1,
2022,Desember,1.b. Hotel Bintang 2,
2022,Desember,1.c. Hotel Bintang 3,
2022,Desember,1.d. Hotel Bintang 4,
2022,Desember,1.e. Hotel Bintang 5,
2022,Desember,1. Hotel Berbintang Total,60.18
2022,Desember,2.a. Hotel NonBintang; kamar <10,
2022,Desember,2.b. Hotel NonBintang; kamar 10-24,
2022,Desember,2.c. Hotel NonBintang; kamar 25-40,
2022,Desember,2.d. Hotel NonBintang; kamar >40,
2022,Desember,2. Hotel NonBintang Total,25.97
2022,Desember,3. Hotel Berbintang dan NonBintang Total,
2023,Desember,1.a. Hotel Bintang 1,
2023,Desember,1.b. Hotel Bintang 2,
2023,Desember,1.c. Hotel Bintang 3,
2023,Desember,1.d. Hotel Bintang 4,
2023,Desember,1.e. Hotel Bintang 5,
2023,Desember,1. Hotel Berbintang Total,
2023,Desember,2.a. Hotel NonBintang; kamar <10,
2023,Desember,2.b. Hotel NonBintang; kamar 10-24,
2023,Desember,2.c. Hotel NonBintang; kamar 25-40,
2023,Desember,2.d. Hotel NonBintang; kamar >40,
2023,Desember,2. Hotel NonBintang Total,
2023,Desember,3. Hotel Berbintang dan NonBintang Total,
2024,Desember,1.a. Hotel Bintang 1,37.05
2024,Desember,1.b. Hotel Bintang 2,57.32
2024,Desember,1.c. Hotel Bintang 3,54.47
2024,Desember,1.d. Hotel Bintang 4,64.89
2024,Desember,1.e. Hotel Bintang 5,70.5
2024,Desember,1. Hotel Berbintang Total,58.56
2024,Desember,2.a. Hotel NonBintang; kamar <10,24.35
2024,Desember,2.b. Hotel NonBintang; kamar 10-24,28.54
2024,Desember,2.c. Hotel NonBintang; kamar 25-40,31.18
2024,Desember,2.d. Hotel NonBintang; kamar >40,23.44
2024,Desember,2. Hotel NonBintang Total,26.85
2024,Desember,3. Hotel Berbintang dan NonBintang Total,47.87
2025,Desember,1.a. Hotel Bintang 1,29.65
2025,Desember,1.b. Hotel Bintang 2,52.49
2025,Desember,1.c. Hotel Bintang 3,52.99
2025,Desember,1.d. Hotel Bintang 4,65.96
2025,Desember,1.e. Hotel Bintang 5,69.47
2025,Desember,1. Hotel Berbintang Total,58.13
2025,Desember,2.a. Hotel NonBintang; kamar <10,23.69
2025,Desember,2.b. Hotel NonBintang; kamar 10-24,27.27
2025,Desember,2.c. Hotel NonBintang; kamar 25-40,29.84
2025,Desember,2.d. Hotel NonBintang; kamar >40,27.57
2025,Desember,2. Hotel NonBintang Total,27.51
2025,Desember,3. Hotel Berbintang dan NonBintang Total,45.75
