tahun,kode_wilayah,kabupaten_kota,wilayah,total_objek_wisata,alam,buatan,budaya,minat_khusus,alam_norm,budaya_norm,buatan_norm,minat_khusus_norm,total_norm
2015,3216,KABUPATEN BEKASI,Pantura Barat,10,4.0,,3.0,3.0,0.05128205128205128,0.07317073170731707,,0.05454545454545454,0.08403361344537816
2015,3217,KABUPATEN BANDUNG BARAT,Priangan Barat,39,26.0,,10.0,3.0,0.3333333333333333,0.24390243902439024,,0.05454545454545454,0.3277310924369748
2015,3218,KABUPATEN PANGANDARAN,Priangan Timur,0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0
2015,3271,KOTA BOGOR,Bogor-Sukabumi,57,0.0,,2.0,55.0,0.0,0.04878048780487805,,1.0,0.4789915966386555
2015,3272,KOTA SUKABUMI,Bogor-Sukabumi,2,2.0,,0.0,0.0,0.02564102564102564,0.0,,0.0,0.01680672268907563
2015,3273,KOTA BANDUNG,Priangan Barat,14,3.0,,3.0,8.0,0.038461538461538464,0.07317073170731707,,0.14545454545454545,0.11764705882352941
2015,3274,KOTA CIREBON,Pantura Timur,10,1.0,,8.0,1.0,0.01282051282051282,0.1951219512195122,,0.01818181818181818,0.08403361344537816
2015,3275,KOTA BEKASI,Pantura Barat,0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0
2015,3276,KOTA DEPOK,Pantura Barat,6,6.0,,0.0,0.0,0.07692307692307693,0.0,,0.0,0.05042016806722689
2015,3277,KOTA CIMAHI,Priangan Barat,0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0
2015,3278,KOTA TASIKMALAYA,Priangan Timur,7,3.0,,4.0,0.0,0.038461538461538464,0.0975609756097561,,0.0,0.058823529411764705
2015,3279,KOTA BANJAR,Priangan Timur,1,1.0,,0.0,0.0,0.01282051282051282,0.0,,0.0,0.008403361344537815
2016,3201,KABUPATEN BOGOR,Bogor-Sukabumi,45,38.0,,3.0,4.0,0.6785714285714286,0.21428571428571427,,0.17391304347826086,0.703125
2016,3202,KABUPATEN SUKABUMI,Bogor-Sukabumi,50,36.0,,7.0,7.0,0.6428571428571429,0.5,,0.30434782608695654,0.78125
2016,3203,KABUPATEN CIANJUR,Priangan Barat,16,9.0,,3.0,4.0,0.16071428571428573,0.21428571428571427,,0.17391304347826086,0.25
2016,3204,KABUPATEN BANDUNG,Priangan Barat,64,56.0,,8.0,0.0,1.0,0.5714285714285714,,0.0,1.0
2016,3205,KABUPATEN GARUT,Priangan Timur,38,24.0,,10.0,4.0,0.42857142857142855,0.7142857142857143,,0.17391304347826086,0.59375
2016,3206,KABUPATEN TASIKMALAYA,Priangan Timur,13,10.0,,2.0,1.0,0.17857142857142858,0.14285714285714285,,0.043478260869565216,0.203125
2016,3207,KABUPATEN CIAMIS,Priangan Timur,9,2.0,,6.0,1.0,0.03571428571428571,0.42857142857142855,,0.043478260869565216,0.140625
2016,3208,KABUPATEN KUNINGAN,Pantura Timur,28,19.0,,6.0,3.0,0.3392857142857143,0.42857142857142855,,0.13043478260869565,0.4375
2016,3209,KABUPATEN CIREBON,Pantura Timur,11,7.0,,4.0,0.0,0.125,0.2857142857142857,,0.0,0.171875
2016,3210,KABUPATEN MAJALENGKA,Pantura Timur,49,29.0,,9.0,11.0,0.5178571428571429,0.6428571428571429,,0.4782608695652174,0.765625
2016,3211,KABUPATEN SUMEDANG,Priangan Barat,24,12.0,,7.0,5.0,0.21428571428571427,0.5,,0.21739130434782608,0.375
2016,3212,KABUPATEN INDRAMAYU,Pantura Timur,1,1.0,,0.0,0.0,0.017857142857142856,0.0,,0.0,0.015625
2016,3213,KABUPATEN SUBANG,Pantura Barat,59,27.0,,9.0,23.0,0.48214285714285715,0.6428571428571429,,1.0,0.921875
2016,3214,KABUPATEN PURWAKARTA,Pantura Barat,26,9.0,,8.0,9.0,0.16071428571428573,0.5714285714285714,,0.391304347826087,0.40625
2016,3215,KABUPATEN KARAWANG,Pantura Barat,24,12.0,,9.0,3.0,0.21428571428571427,0.6428571428571429,,0.13043478260869565,0.375
2016,3216,KABUPATEN BEKASI,Pantura Barat,10,4.0,,3.0,3.0,0.07142857142857142,0.21428571428571427,,0.13043478260869565,0.15625
2016,3217,KABUPATEN BANDUNG BARAT,Priangan Barat,39,26.0,,10.0,3.0,0.4642857142857143,0.7142857142857143,,0.13043478260869565,0.609375
2016,3218,KABUPATEN PANGANDARAN,Priangan Timur,30,11.0,,5.0,14.0,0.19642857142857142,0.35714285714285715,,0.6086956521739131,0.46875
2016,3271,KOTA BOGOR,Bogor-Sukabumi,22,5.0,,8.0,9.0,0.08928571428571429,0.5714285714285714,,0.391304347826087,0.34375
2016,3272,KOTA SUKABUMI,Bogor-Sukabumi,2,2.0,,0.0,0.0,0.03571428571428571,0.0,,0.0,0.03125
2016,3273,KOTA BANDUNG,Priangan Barat,14,3.0,,3.0,8.0,0.05357142857142857,0.21428571428571427,,0.34782608695652173,0.21875
2016,3274,KOTA CIREBON,Pantura Timur,17,1.0,,14.0,2.0,0.017857142857142856,1.0,,0.08695652173913043,0.265625
2016,3275,KOTA BEKASI,Pantura Barat,0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0
2016,3276,KOTA DEPOK,Pantura Barat,21,6.0,,6.0,9.0,0.10714285714285714,0.42857142857142855,,0.391304347826087,0.328125
2016,3277,KOTA CIMAHI,Priangan Barat,6,3.0,,2.0,1.0,0.05357142857142857,0.14285714285714285,,0.043478260869565216,0.09375
2016,3278,KOTA TASIKMALAYA,Priangan Timur,11,4.0,,5.0,2.0,0.07142857142857142,0.35714285714285715,,0.08695652173913043,0.171875
2016,3279,KOTA BANJAR,Priangan Timur,2,1.0,,1.0,0.0,0.017857142857142856,0.07142857142857142,,0.0,0.03125
2017,3201,KABUPATEN BOGOR,Bogor-Sukabumi,86,55.0,,3.0,28.0,0.6707317073170732,0.03571428571428571,,0.2641509433962264,0.4095238095238095
2017,3202,KABUPATEN SUKABUMI,Bogor-Sukabumi,50,36.0,,7.0,7.0,0.43902439024390244,0.08333333333333333,,0.0660377358490566,0.23809523809523808
2017,3203,KABUPATEN CIANJUR,Priangan Barat,19,12.0,,3.0,4.0,0.14634146341463414,0.03571428571428571,,0.03773584905660377,0.09047619047619047
2017,3204,KABUPATEN BANDUNG,Priangan Barat,64,56.0,,8.0,0.0,0.6829268292682927,0.09523809523809523,,0.0,0.3047619047619048
2017,3205,KABUPATEN GARUT,Priangan Timur,43,30.0,,6.0,7.0,0.36585365853658536,0.07142857142857142,,0.0660377358490566,0.20476190476190476
2017,3206,KABUPATEN TASIKMALAYA,Priangan Timur,146,59.0,,84.0,3.0,0.7195121951219512,1.0,,0.02830188679245283,0.6952380952380952
2017,3207,KABUPATEN CIAMIS,Priangan Timur,129,82.0,,45.0,2.0,1.0,0.5357142857142857,,0.018867924528301886,0.6142857142857143
2017,3208,KABUPATEN KUNINGAN,Pantura Timur,28,19.0,,6.0,3.0,0.23170731707317074,0.07142857142857142,,0.02830188679245283,0.13333333333333333
2017,3209,KABUPATEN CIREBON,Pantura Timur,11,7.0,,4.0,0.0,0.08536585365853659,0.047619047619047616,,0.0,0.05238095238095238
2017,3210,KABUPATEN MAJALENGKA,Pantura Timur,49,29.0,,9.0,11.0,0.35365853658536583,0.10714285714285714,,0.10377358490566038,0.23333333333333334
2017,3211,KABUPATEN SUMEDANG,Priangan Barat,32,20.0,,11.0,1.0,0.24390243902439024,0.13095238095238096,,0.009433962264150943,0.1523809523809524
2017,3212,KABUPATEN INDRAMAYU,Pantura Timur,24,24.0,,0.0,0.0,0.2926829268292683,0.0,,0.0,0.11428571428571428
2017,3213,KABUPATEN SUBANG,Pantura Barat,13,5.0,,6.0,2.0,0.06097560975609756,0.07142857142857142,,0.018867924528301886,0.06190476190476191
2017,3214,KABUPATEN PURWAKARTA,Pantura Barat,26,9.0,,8.0,9.0,0.10975609756097561,0.09523809523809523,,0.08490566037735849,0.12380952380952381
2017,3215,KABUPATEN KARAWANG,Pantura Barat,55,33.0,,13.0,9.0,0.4024390243902439,0.15476190476190477,,0.08490566037735849,0.2619047619047619
2017,3216,KABUPATEN BEKASI,Pantura Barat,10,4.0,,3.0,3.0,0.04878048780487805,0.03571428571428571,,0.02830188679245283,0.047619047619047616
2017,3217,KABUPATEN BANDUNG BARAT,Priangan Barat,39,26.0,,10.0,3.0,0.3170731707317073,0.11904761904761904,,0.02830188679245283,0.18571428571428572
2017,3218,KABUPATEN PANGANDARAN,Priangan Timur,210,57.0,,47.0,106.0,0.6951219512195121,0.5595238095238095,,1.0,1.0
2017,3271,KOTA BOGOR,Bogor-Sukabumi,22,5.0,,8.0,9.0,0.06097560975609756,0.09523809523809523,,0.08490566037735849,0.10476190476190476
2017,3272,KOTA SUKABUMI,Bogor-Sukabumi,2,2.0,,0.0,0.0,0.024390243902439025,0.0,,0.0,0.009523809523809525
2017,3273,KOTA BANDUNG,Priangan Barat,14,3.0,,3.0,8.0,0.036585365853658534,0.03571428571428571,,0.07547169811320754,0.06666666666666667
2017,3274,KOTA CIREBON,Pantura Timur,17,1.0,,14.0,2.0,0.012195121951219513,0.16666666666666666,,0.018867924528301886,0.08095238095238096
2017,3275,KOTA BEKASI,Pantura Barat,0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0
2017,3276,KOTA DEPOK,Pantura Barat,21,6.0,,6.0,9.0,0.07317073170731707,0.07142857142857142,,0.08490566037735849,0.1
